treatment	biomarker1	biomarker2	biomarker3	biomarker4	biomarker5	biomarker6	biomarker7
site1	0.002749463	0.000696328	0.00037	0.756663044	0.0000889	0.007533101	0.274804836
site1	0.001953303	0.00054422	0.000341	0.760811444	0.0001321	0.009455318	0.327835581
site1	0.002718143	0.000595456	0.000351	0.847659152	0.0001796	0.006525595	0.496966007
site1	0.002707648	0.000424951	0.01765	0.637853579	0.0001363	0.011229185	0.498670167
site1	0.002213998	0.000419754	0.00075	0.874214081	0.0000486	0.008523747	0.512317983
site1	0.002466283	0.000513617	0.000508	0.766267688	0.0002681	0.006599852	0.450026612
site1	0.00225564	0.000507296	0.000323	0.689550783	0.000087	0.005827194	0.293738337
site1	NA	NA	NA	NA	NA	NA	NA
site2	0.002259849	0.000206149	0.014507	0.111481844	0.0001103	0.008629204	0.361586068
site2	0.001921168	0.000611118	0.000422	0.713029807	0.0001092	0.007845484	0.474627313
site2	0.001518837	0.000475981	0.000704	0.589965438	0.0001226	0.007514171	0.316419975
site2	0.00275916	0.000561484	0.012203	0.126798458	0.0000882	0.006987221	0.342357818
site2	0.001768371	0.000399016	0.000354	0.718301833	0.0000745	0.006470396	0.411737432
site2	0.002527553	0.000461797	0.000906	0.858782933	0.0001021	0.007548865	0.682353121
site2	0.002179065	0.00032515	0.000318	0.177346826	0.0001166	0.004926641	0.349075934
site2	0.001578676	0.000387607	0.001227	0.753324553	0.0000893	0.005839871	0.548677261
site2	0.002061521	0.000546694	0.000588	0.44498099	0.0000897	0.01159553	0.428117806
site2	0.002670048	0.000451583	NA	0.619986642	0.0000822	0.008133856	0.439827657
site3	0.00222395	0.000559691	0.008684	0.396498045	0.000128	0.00713008	0.248761061
site3	0.002143946	0.000282312	0.000276	0.916817835	0.0001039	0.006243483	0.386388589
site3	0.002724053	0.000308991	0.000295	0.609465766	0.0000618	0.007883236	0.331440584
site3	0.001888763	0.000437649	0.000507	0.126284141	0.0000951	0.010863823	0.268728237
site3	0.002720592	0.000522287	0.000526	0.790856678	0.0002801	0.007921979	0.267540514
site3	0.001959639	0.000293151	0.000467	0.772349443	0.0000418	0.00729026	0.277489215
site3	0.001809898	0.000320802	0.005536	0.634270298	0.000084	0.006266754	0.309223209
site3	0.002123955	0.000376074	0.000231	0.663158146	0.0001248	0.005337967	0.365329218
site3	0.002787245	0.000317847	0.000458	0.346907887	0.0001075	0.010189458	0.345980707
site3	0.001720085	NA	0.000202	0.785633289	NA	0.009011847	0.396338457
